               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.021407,            0.010973,            0.012859,             0.75398,             0.69644,             0.76735,             0.64991,            0.018639,            0.006946,            0.031092,            0.004258,            0.004258,            0.004258
                  60,            0.021188,            0.011022,            0.012096,             0.79224,             0.70914,             0.77604,             0.66166,            0.018428,           0.0068905,            0.031098,            0.004159,            0.004159,            0.004159
                  61,            0.021138,            0.010997,            0.011396,             0.78346,             0.70489,             0.78281,             0.66277,            0.018304,           0.0069071,            0.029995,             0.00406,             0.00406,             0.00406
                  62,            0.020685,            0.010724,            0.011723,             0.78394,               0.717,             0.78919,             0.67756,            0.018081,           0.0066171,             0.03031,            0.003961,            0.003961,            0.003961
                  63,              0.0207,            0.010643,            0.011267,             0.82029,             0.68775,              0.7866,             0.67528,            0.018083,           0.0067399,             0.03155,            0.003862,            0.003862,            0.003862
                  64,             0.02061,            0.010589,            0.011426,             0.80577,             0.70057,             0.78679,             0.67037,            0.018244,           0.0065833,            0.031122,            0.003763,            0.003763,            0.003763
                  65,            0.020337,            0.010692,            0.010898,             0.77478,             0.71787,             0.78303,             0.67442,            0.017761,           0.0067165,             0.03196,            0.003664,            0.003664,            0.003664
                  66,            0.020113,            0.010559,            0.010391,             0.81241,             0.69266,             0.78543,             0.67659,            0.017775,           0.0066256,            0.031467,            0.003565,            0.003565,            0.003565
                  67,            0.019943,            0.010458,            0.010163,             0.81798,             0.69502,             0.79294,             0.68275,            0.017443,           0.0065305,             0.03144,            0.003466,            0.003466,            0.003466
                  68,            0.019935,            0.010322,           0.0099087,             0.81944,             0.68997,             0.78034,             0.67116,             0.01751,           0.0066584,            0.033417,            0.003367,            0.003367,            0.003367
                  69,            0.019417,            0.010142,           0.0098565,             0.82831,             0.69224,             0.79166,             0.68151,            0.017125,           0.0065524,            0.031424,            0.003268,            0.003268,            0.003268
                  70,            0.019683,             0.01018,           0.0095174,             0.81789,             0.69265,             0.77977,              0.6809,            0.017432,           0.0068444,            0.033132,            0.003169,            0.003169,            0.003169
                  71,            0.019121,            0.010175,           0.0092856,             0.80434,             0.71045,               0.785,             0.68063,             0.01734,           0.0068111,             0.03245,             0.00307,             0.00307,             0.00307
                  72,            0.018865,           0.0099468,            0.009138,             0.81806,             0.71296,             0.78695,             0.68606,            0.017065,           0.0067519,            0.032138,            0.002971,            0.002971,            0.002971
                  73,            0.018381,           0.0098717,           0.0089099,              0.8266,             0.70896,             0.79398,             0.69039,            0.017196,           0.0067631,            0.030621,            0.002872,            0.002872,            0.002872
                  74,            0.018428,           0.0097719,           0.0085697,             0.82783,             0.70285,             0.79757,             0.69635,            0.017064,           0.0069066,            0.029976,            0.002773,            0.002773,            0.002773
                  75,            0.018347,           0.0097628,           0.0083696,             0.83118,             0.70021,              0.7997,             0.69634,            0.016955,           0.0068432,            0.030736,            0.002674,            0.002674,            0.002674
                  76,            0.017919,           0.0095963,           0.0082665,             0.80269,             0.72184,             0.79846,             0.69244,            0.017069,           0.0067623,            0.030225,            0.002575,            0.002575,            0.002575
                  77,            0.017788,           0.0096792,            0.008362,             0.81578,             0.70399,              0.7889,              0.6926,            0.016822,            0.006543,            0.030651,            0.002476,            0.002476,            0.002476
                  78,            0.017725,           0.0095212,           0.0075146,             0.82256,             0.71356,             0.80459,             0.70504,            0.017098,            0.006629,            0.030837,            0.002377,            0.002377,            0.002377
                  79,            0.017152,           0.0093925,           0.0074433,             0.82454,             0.71333,             0.79625,             0.69829,            0.016807,           0.0068286,             0.03186,            0.002278,            0.002278,            0.002278
                  80,            0.016891,           0.0092659,           0.0073038,             0.81807,             0.71109,              0.7997,             0.69869,            0.016633,           0.0067465,            0.031558,            0.002179,            0.002179,            0.002179
                  81,            0.016938,           0.0093565,           0.0073679,             0.84007,             0.71263,             0.80317,             0.70865,            0.016585,           0.0067342,            0.030226,             0.00208,             0.00208,             0.00208
                  82,            0.016761,           0.0093896,            0.006973,             0.80769,             0.72154,             0.80524,             0.71274,            0.016541,           0.0065762,            0.029969,            0.001981,            0.001981,            0.001981
                  83,            0.016535,           0.0090237,           0.0067378,             0.84295,             0.71757,             0.81151,              0.7139,            0.016463,           0.0066113,            0.029007,            0.001882,            0.001882,            0.001882
                  84,            0.015968,           0.0089509,           0.0063998,             0.83209,             0.72305,             0.81023,             0.71303,            0.016234,           0.0065956,            0.029274,            0.001783,            0.001783,            0.001783
                  85,            0.016088,           0.0091114,           0.0065103,             0.85725,             0.69577,             0.81057,             0.71456,            0.016401,             0.00651,             0.03007,            0.001684,            0.001684,            0.001684
                  86,            0.015979,           0.0089275,           0.0064529,             0.82379,             0.71142,             0.81118,             0.71515,            0.016325,           0.0065819,            0.030149,            0.001585,            0.001585,            0.001585
                  87,            0.015453,           0.0088199,           0.0063026,             0.84517,             0.69396,             0.80551,             0.71154,            0.016189,           0.0066137,            0.030678,            0.001486,            0.001486,            0.001486
                  88,             0.01566,            0.008957,           0.0059633,             0.83042,             0.71214,             0.80804,             0.71227,             0.01627,           0.0066035,            0.029935,            0.001387,            0.001387,            0.001387
                  89,            0.015357,           0.0088693,           0.0058524,             0.82998,             0.71333,             0.80934,              0.7155,            0.015956,           0.0066025,            0.030034,            0.001288,            0.001288,            0.001288
                  90,            0.015123,            0.008637,           0.0059061,              0.8245,              0.7293,             0.82059,             0.72737,            0.015744,            0.006484,             0.02971,            0.001189,            0.001189,            0.001189
                  91,             0.01473,           0.0086086,           0.0056751,             0.83688,             0.71802,             0.81768,             0.72407,            0.015749,           0.0065876,            0.029314,             0.00109,             0.00109,             0.00109
                  92,             0.01449,           0.0084018,           0.0054621,             0.86513,             0.70961,             0.82259,             0.72985,            0.015766,           0.0066029,            0.028874,            0.000991,            0.000991,            0.000991
                  93,            0.014223,           0.0085473,           0.0054601,             0.85463,             0.72303,              0.8186,             0.72833,            0.015793,           0.0065216,            0.029242,            0.000892,            0.000892,            0.000892
                  94,            0.014169,           0.0083327,           0.0052614,             0.85874,             0.70914,             0.81847,              0.7307,            0.015752,           0.0066067,            0.029033,            0.000793,            0.000793,            0.000793
                  95,            0.013587,           0.0082178,           0.0051263,             0.85737,             0.71861,             0.82358,             0.73196,            0.015828,           0.0065931,            0.029122,            0.000694,            0.000694,            0.000694
                  96,            0.013549,           0.0080638,           0.0049658,             0.84531,             0.72778,             0.82303,              0.7313,             0.01565,           0.0065755,            0.030197,            0.000595,            0.000595,            0.000595
                  97,            0.013124,           0.0081165,           0.0049052,             0.84903,              0.7213,              0.8213,              0.7291,            0.015786,           0.0065911,            0.030247,            0.000496,            0.000496,            0.000496
                  98,            0.013322,            0.008129,           0.0048171,             0.84586,             0.72885,             0.81949,             0.73015,            0.015778,           0.0066203,            0.030862,            0.000397,            0.000397,            0.000397
                  99,            0.012802,           0.0079659,           0.0049855,             0.82872,             0.73879,             0.81919,             0.73181,            0.015661,           0.0065615,            0.030865,            0.000298,            0.000298,            0.000298
